BUY,BTC-TUBE,1524437445.539,46.43654679,0.00002800
BUY,BTC-TUBE,1524438102.592,304.55388210,0.00002850
SELL,BTC-TUBE,1524446689.113,297.00098772,0.00002932
BUY,BTC-TUBE,1524446787.115,304.22022448,0.00002851
SELL,BTC-TUBE,1524455498.105,358.20966565,0.00002890
BUY,BTC-TUBE,1524461765.649,143.20036355,0.00002816
BUY,BTC-TUBE,1524462388.793,154.78505574,0.00002816
SELL,BTC-TUBE,1524469149.461,143.20036355,0.00002975
BUY,BTC-TUBE,1524474003.943,208.84139207,0.00002951
SELL,BTC-TUBE,1524489188.956,49.28263615,0.00003300
SELL,BTC-TUBE,1524489296.962,82.08954594,0.00003300
SELL,BTC-TUBE,1524489424.970,23.41287365,0.00003300
SELL,BTC-TUBE,1524518630.317,100.00000000,0.00003600
BUY,BTC-TUBE,1524519801.431,3.00000000,0.00003607
BUY,BTC-TUBE,1524520265.475,41.39322121,0.00003793
BUY,BTC-TUBE,1524520279.480,184.22207374,0.00003797
BUY,BTC-TUBE,1524539443.415,20.00000000,0.00003605
SELL,BTC-TUBE,1524540977.531,100.00000000,0.00003789
BUY,BTC-TUBE,1524544064.851,337.65926562,0.00003712
SELL,BTC-TUBE,1524550006.438,50.00000000,0.00003899
SELL,BTC-TUBE,1524550142.452,100.00000000,0.00003900
SELL,BTC-TUBE,1524551837.744,112.65926562,0.00003900
SELL,BTC-TUBE,1524551837.746,75.00000000,0.00003987
BUY,BTC-TUBE,1524552611.845,65.77702132,0.00003801
BUY,BTC-TUBE,1524553747.020,127.71078662,0.00003801
SELL,BTC-TUBE,1524555199.248,127.71078662,0.00003929
SELL,BTC-TUBE,1524555199.256,65.77702132,0.00003975
BUY,BTC-TUBE,1524556700.532,199.68336327,0.00003807
BUY,BTC-TUBE,1524556700.533,153.03977410,0.00003807
SELL,BTC-TUBE,1524609131.703,610.17982439,0.00004000
BUY,BTC-TUBE,1524610130.829,138.58525346,0.00003905
BUY,BTC-TUBE,1524627580.801,460.92605658,0.00004100
SELL,BTC-TUBE,1524776785.842,245.57786000,0.00004200
SELL,BTC-TUBE,1524776803.844,54.42214000,0.00004200
BUY,BTC-TUBE,1524872923.632,102.38111064,0.00003724
BUY,BTC-TUBE,1524875385.814,239.04489192,0.00003655
SELL,BTC-TUBE,1528161386.677,140.93731260,0.00004200
SELL,BTC-TUBE,1528161392.694,100.00000000,0.00004400
SELL,BTC-TUBE,1528161396.718,100.00000000,0.00004600
SELL,BTC-TUBE,1528161398.727,100.00000000,0.00004800
SELL,BTC-TUBE,1528161416.756,100.00000000,0.00005000
SELL,BTC-TUBE,1528163833.589,100.00000000,0.00005500
BUY,BTC-TUBE,1528341170.850,668.95840200,0.00003000
SELL,BTC-TUBE,1535267913.985,668.95840200,0.00000522
BUY,BTC-RYO,1540023273.091,25.00000000,0.00002170
BUY,BTC-TUBE,1540064337.234,100.00000000,0.00001350
BUY,BTC-TUBE,1540102569.911,200.00000000,0.00001300
BUY,BTC-TUBE,1540105545.323,804.35926969,0.00001320
BUY,BTC-INTU,1540113807.787,10000.00000000,0.00000002
SELL,BTC-TUBE,1540198664.113,200.00000000,0.00001350
SELL,BTC-TUBE,1540200338.456,200.00000000,0.00001360
SELL,BTC-TUBE,1540212169.145,200.00000000,0.00001370
SELL,BTC-TUBE,1540215184.178,200.00000000,0.00001400
SELL,BTC-TUBE,1540223846.650,58.97776542,0.00001450
SELL,BTC-TUBE,1540226854.262,141.02223458,0.00001450
BUY,BTC-TUBE,1540234574.112,100.00000000,0.00001407
BUY,BTC-ETN,1540242222.458,500.00000000,0.00000289
BUY,BTC-TUBE,1540245393.395,517.18731811,0.00001440
BUY,BTC-TUBE,1540245399.397,11.01200000,0.00001440
BUY,BTC-TUBE,1540245431.413,54.48783327,0.00001440
SELL,BTC-TUBE,1540254802.206,104.35926969,0.00001500
SELL,BTC-TUBE,1540254802.216,100.00000000,0.00001510
BUY,BTC-INTU,1540301355.648,10000.00000000,0.00000002
BUY,BTC-INTU,1540301355.652,100000.00000000,0.00000002
BUY,BTC-XTL,1540319224.199,13834.24906666,0.00000015
SELL,BTC-TUBE,1540332606.701,82.68715138,0.00001468
BUY,BTC-XTL,1540386599.565,8635.90785714,0.00000014
BUY,BTC-XTL,1540388103.046,13834.24906666,0.00000012
BUY,BTC-TUBE,1540399437.427,186.15541787,0.00001430
BUY,BTC-TUBE,1540402140.851,15.94307164,0.00001430
BUY,BTC-TUBE,1540505438.614,200.00000000,0.00001401
SELL,BTC-ETN,1540578012.452,500.00000000,0.00000310
BUY,BTC-XMR,1540715457.170,0.09709618,0.01590007
SELL,BTC-XMR,1540736673.938,0.09709618,0.01630000
BUY,BTC-XMR,1540757338.377,0.09995428,0.01577082
SELL,BTC-XMR,1540787811.130,0.05292262,0.01616002
SELL,BTC-XMR,1540788863.262,0.01853085,0.01616002
SELL,BTC-XMR,1540788984.285,0.01766711,0.01616002
SELL,BTC-XMR,1540789104.308,0.01083370,0.01616002
BUY,BTC-XMR,1540823840.480,0.10183719,0.01579792
BUY,BTC-TUBE,1540896580.885,240.22942168,0.00001328
SELL,BTC-XMR,1540900550.707,0.01702460,0.01622000
SELL,BTC-XMR,1540900669.741,0.01686540,0.01622000
SELL,BTC-XMR,1540901066.839,0.01732886,0.01622000
SELL,BTC-XMR,1540901133.851,0.05061833,0.01622000
SELL,BTC-RYO,1541170853.644,25.00000000,0.00002300
BUY,BTC-XTL,1541175917.120,19960.00000000,0.00000010
BUY,BTC-XHV,1541332002.938,13.97680802,0.00035702
BUY,BTC-TUBE,1541437312.418,357.99431110,0.00001284
BUY,BTC-TUBE,1541437387.438,1196.52593189,0.00001284
SELL,BTC-INTU,1541483545.150,50000.00000000,0.00000003
SELL,BTC-XHV,1541721111.699,13.97680802,0.00038000
BUY,BTC-TUBE,1541725382.699,19.50000000,0.00001147
BUY,BTC-TUBE,1541726046.875,20.00000000,0.00001147
BUY,BTC-TUBE,1541726456.945,90.76205754,0.00001147
SELL,BTC-TUBE,1541740854.175,130.26205754,0.00001170
BUY,BTC-RVN,1541834411.054,521.60278745,0.00000574
BUY,BTC-RVN,1541848432.354,350.17543859,0.00000570
BUY,BTC-RVN,1541865127.148,545.29472500,0.00000640
SELL,BTC-RVN,1541870449.390,250.00000000,0.00000625
SELL,BTC-RVN,1541870605.410,151.00000000,0.00000625
